datetime,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,clouds
1686082879,286.39,285.65,285.03,287.33,1022,72,10000,4.12,50,75
1686082879,286.39,285.65,285.03,287.33,1022,72,10000,4.12,50,75
1686082935,286.39,285.65,285.03,287.33,1022,72,10000,4.12,50,75
1686083214,286.37,285.63,285.03,287.33,1022,72,10000,4.12,50,75
1686083214,286.37,285.63,285.03,287.33,1022,72,10000,4.12,50,75
1686083497,286.3,285.55,285.03,287.33,1022,72,10000,4.12,50,75
1686083523,286.25,285.47,285.03,287.33,1022,71,10000,3.6,0,75
1686083523,286.25,285.47,285.03,287.33,1022,71,10000,3.6,0,75
1686083523,286.25,285.47,285.03,287.33,1022,71,10000,3.6,0,75
1686083523,286.25,285.47,285.03,287.33,1022,71,10000,3.6,0,75
1686083876,286.15,285.39,284.66,287.33,1022,72,10000,3.6,0,75
1686084231,286.15,285.39,284.66,287.33,1022,72,10000,3.6,0,75
1686084231,286.15,285.39,284.66,287.33,1022,72,10000,3.6,0,75
1686084263,286.16,285.4,284.66,287.33,1022,72,10000,3.6,0,75
1686084263,286.16,285.4,284.66,287.33,1022,72,10000,3.6,0,75
1686084731,285.97,285.24,284.66,286.64,1022,74,10000,3.6,0,75
1686084731,285.97,285.24,284.66,286.64,1022,74,10000,3.6,0,75
1686084731,285.97,285.24,284.66,286.64,1022,74,10000,3.6,0,75
1686084843,285.97,285.24,284.66,286.64,1022,74,10000,3.6,0,75
1686084843,285.97,285.24,284.66,286.64,1022,74,10000,3.6,0,75
1686085208,285.91,285.17,284.66,286.64,1022,74,10000,3.6,0,75
1686085208,285.91,285.17,284.66,286.64,1022,74,10000,3.6,0,75
1686085471,285.81,285.06,284.55,286.37,1023,74,10000,3.09,30,75
1686085502,285.81,285.06,284.55,286.37,1023,74,10000,3.09,30,75
1686085862,285.81,285.06,284.55,286.37,1023,74,10000,3.09,30,75
1686085862,285.81,285.06,284.55,286.37,1023,74,10000,3.09,30,75
1686085862,285.81,285.06,284.55,286.37,1023,74,10000,3.09,30,75
1686085891,285.74,284.99,284.55,286.37,1023,74,10000,3.09,30,75
1686085942,285.73,284.98,284.55,286.37,1023,74,10000,3.09,30,75
1686085942,285.73,284.98,284.55,286.37,1023,74,10000,3.09,30,75
1686086543,285.69,284.93,284.53,286.37,1022,74,10000,3.09,30,75
1686086543,285.69,284.93,284.53,286.37,1022,74,10000,3.09,30,75
1686086543,285.69,284.93,284.53,286.37,1022,74,10000,3.09,30,75
1686086589,285.69,284.93,284.53,286.37,1022,74,10000,3.09,30,75
1686086828,285.68,284.92,284.53,286.37,1022,74,10000,3.09,30,75
1686086828,285.68,284.92,284.53,286.37,1022,74,10000,3.09,30,75
1686087162,285.61,284.84,284.53,286.23,1023,74,10000,4.12,50,75
1686087255,285.62,284.85,284.53,286.23,1022,74,10000,4.12,50,75
1686087288,285.62,284.85,284.53,286.23,1022,74,10000,4.12,50,75
1686087675,285.59,284.85,284.53,286.23,1022,75,10000,4.12,50,75
1686087675,285.59,284.85,284.53,286.23,1022,75,10000,4.12,50,75
1686087690,285.59,284.85,284.53,286.23,1022,75,10000,4.12,50,75
1686087690,285.59,284.85,284.53,286.23,1022,75,10000,4.12,50,75
1686087826,285.58,284.84,284.53,286.23,1022,75,10000,4.12,50,75
1686087826,285.58,284.84,284.53,286.23,1022,75,10000,4.12,50,75
1686088064,285.58,284.84,284.49,286.23,1023,75,10000,4.12,50,75
1686088379,285.54,284.79,284.49,286.23,1023,75,10000,4.12,50,75
1686088379,285.54,284.79,284.49,286.23,1023,75,10000,4.12,50,75
1686088392,285.54,284.79,284.49,286.23,1023,75,10000,4.12,50,75
1686088506,285.54,284.79,284.49,286.23,1022,75,10000,4.12,50,75
1686088811,285.54,284.79,284.49,286.23,1023,75,10000,4.12,50,75
1686088824,285.54,284.79,284.49,286.23,1023,75,10000,4.12,50,75
1686088824,285.54,284.79,284.49,286.23,1023,75,10000,4.12,50,75
1686088824,285.54,284.79,284.49,286.23,1023,75,10000,4.12,50,75
1686089124,285.47,284.72,284.0,286.09,1023,75,10000,4.63,60,75
1686089604,285.35,284.58,284.0,286.03,1023,75,10000,4.63,60,75
1686089604,285.35,284.58,284.0,286.03,1023,75,10000,4.63,60,75
1686089711,285.34,284.57,284.0,286.03,1022,75,10000,4.63,60,75
1686089711,285.34,284.57,284.0,286.03,1022,75,10000,4.63,60,75
1686089711,285.34,284.57,284.0,286.03,1022,75,10000,4.63,60,75
1686090205,285.21,284.43,284.0,286.03,1022,75,10000,4.63,60,75
1686090205,285.21,284.43,284.0,286.03,1022,75,10000,4.63,60,75
1686090482,285.21,284.43,284.0,286.03,1022,75,10000,4.63,60,75
1686090482,285.21,284.43,284.0,286.03,1022,75,10000,4.63,60,75
1686090482,285.21,284.43,284.0,286.03,1022,75,10000,4.63,60,75
1686090482,285.21,284.43,284.0,286.03,1022,75,10000,4.63,60,75
1686090855,285.03,284.23,283.98,285.66,1022,75,10000,4.12,50,75
1686090855,285.03,284.23,283.98,285.66,1022,75,10000,4.12,50,75
1686090855,285.03,284.23,283.98,285.66,1022,75,10000,4.12,50,75
1686090855,285.03,284.23,283.98,285.66,1022,75,10000,4.12,50,75
1686091385,285.05,284.28,283.98,285.66,1022,76,10000,4.12,50,75
1686091463,285.05,284.28,283.98,285.66,1022,76,10000,4.12,50,75
1686091463,285.05,284.28,283.98,285.66,1022,76,10000,4.12,50,75
1686091561,285.05,284.28,284.02,285.66,1022,76,10000,4.12,50,75
1686091561,285.05,284.28,284.02,285.66,1022,76,10000,4.12,50,75
1686091694,285.05,284.28,284.03,285.66,1022,76,10000,4.12,50,75
1686091875,285.0,284.22,284.03,285.66,1022,76,10000,4.12,50,75
1686092018,285.0,284.22,284.03,285.66,1022,76,10000,4.12,50,75
1686092154,285.0,284.22,283.75,285.66,1023,76,10000,4.12,50,75
1686092154,285.0,284.22,283.75,285.66,1023,76,10000,4.12,50,75
1686092475,284.94,284.16,283.75,285.46,1023,76,10000,4.12,50,75
1686092475,284.94,284.16,283.75,285.46,1023,76,10000,4.12,50,75
1686092475,284.94,284.16,283.75,285.46,1023,76,10000,4.12,50,75
1686092511,284.93,284.15,283.75,285.46,1023,76,10000,4.12,50,75
1686092511,284.93,284.15,283.75,285.46,1023,76,10000,4.12,50,75
1686093090,284.9,284.11,283.64,285.43,1022,76,10000,4.63,60,75
1686093144,284.9,284.11,283.64,285.43,1022,76,10000,4.63,60,75
1686093311,284.9,284.11,283.64,285.43,1022,76,10000,4.63,60,75
1686093311,284.9,284.11,283.64,285.43,1022,76,10000,4.63,60,75
1686093516,284.88,284.12,283.64,285.43,1022,77,10000,4.63,60,75
1686093516,284.88,284.12,283.64,285.43,1022,77,10000,4.63,60,75
1686093829,284.88,284.12,283.64,285.43,1022,77,10000,4.63,60,75
1686093829,284.88,284.12,283.64,285.43,1022,77,10000,4.63,60,75
1686093978,284.85,284.09,283.64,285.43,1022,77,10000,4.63,60,75
1686094117,284.85,284.09,283.64,285.43,1023,77,10000,4.63,60,75
1686094117,284.85,284.09,283.64,285.43,1023,77,10000,4.63,60,75
1686094308,284.79,284.02,283.64,285.39,1022,77,10000,4.63,60,75
1686094465,284.79,284.02,283.64,285.39,1022,77,10000,4.12,60,75
1686094585,284.78,284.01,283.64,285.39,1022,77,10000,4.12,60,75
1686094585,284.78,284.01,283.64,285.39,1022,77,10000,4.12,60,75
1686094808,284.79,284.02,283.64,285.39,1022,77,10000,4.12,60,75
1686094808,284.79,284.02,283.64,285.39,1022,77,10000,4.12,60,75
1686095051,284.75,283.98,283.64,285.39,1022,77,10000,4.12,60,75
1686095051,284.75,283.98,283.64,285.39,1022,77,10000,4.12,60,75
1686095188,284.74,283.97,283.19,285.39,1022,77,10000,4.12,60,75
1686095188,284.74,283.97,283.19,285.39,1022,77,10000,4.12,60,75
1686095638,284.72,283.94,283.19,285.39,1022,77,10000,4.12,60,75
1686095797,284.71,283.93,283.19,285.39,1022,77,10000,4.12,60,75
1686095797,284.71,283.93,283.19,285.39,1022,77,10000,4.12,60,75
1686095873,284.71,283.93,283.19,285.39,1022,77,10000,4.12,60,75
1686096239,284.64,283.91,283.09,285.39,1022,79,10000,4.47,48,75
